AÑO,DEPARTAMENTO,DEPARTAMENTO,SEXO,Total personas,"IC+- b/
Total personas","Cve c/
Total personas",TOTAL Hogares,Hogares IC+- b/,Hogares Cve c/,,TOTAL Equipos de cómputo,Equipos de cómputo IC+-,Equipos de cómputo Cve,Equipos de cómputoProporción,,TOTAL Hogares con internet,Hogares con internetIC+-,Hogares con internet Cve,Hogares con internet Proporción,,Total Uso computador portátil en cualquier lugar,"Total IC+-
Usó computador portátil en cualquier lugar","Cve
Usó computador portátil en cualquier lugar","Proporción 
Usó computador portátil en cualquier lugar",,Total Uso computador en cualquier lugar,"Total IC+-
Usó computador en cualquier lugar","Cve
Usó computador en cualquier lugar","Proporción 
Usó computador en cualquier lugar",,Total Usó Internet en cualquier lugar y desde cualquier dispositivo,"IC+- 
Usó Internet en cualquier lugar y desde cualquier dispositivo","CVe
Usó Internet en cualquier lugar y desde cualquier dispositivo","Proporción
Usó Internet en cualquier lugar y desde cualquier dispositivo",,"Total 
Usó teléfono celular en cualquier lugar","IC+- 
Usó teléfono celular en cualquier lugar","CVe
Usó teléfono celular en cualquier lugar","Proporción
Usó teléfono celular en cualquier lugar",,,"TOTAL
Tiene teléfono celular","IC+-
Tiene teléfono celular","Cve
Tiene teléfono celular","Proporción
Tiene teléfono celular",,,"TOTAL
Tiene teléfono celular inteligente (smartphone)","IC+-
Tiene teléfono celular inteligente (smartphone)","Cve
Tiene teléfono celular inteligente (smartphone)","Proporción
Tiene teléfono celular inteligente (smartphone)",,TOTAL Pnas usan computador o internet,Pnas usan computador o internet IC+- b/,Pnas usan computador o internet Cve c/,proporción usan computador,,Usan procesadores texto TOTAL,Usan procesadores texto IC+-,Usan procesadores texto Cve,Usan procesadores texto Proporción,,Usan mails y adjuntos TOTAL,Usan mails y adjuntos IC+-,Usan mails y adjuntos Cve,Usan mails y adjuntos Proporción,,Instala dispositivos TOTAL,Instala dispositivos IC+-,Instala dispositivos Cve,Instala dispositivos Proporción,,Usa formulación hojas cálculo TOTAL,Usa formulación hojas cálculo IC+-,Usa formulación hojas cálculo Cve,Usa formulación hojas cálculo Proporción,,Crea PPTs TOTAL,Crea PPTs IC+-,Crea PPTs Cve,Crea PPTs Proporción,,Usa lenguaje programación TOTAL,Usa lenguaje programación IC+-,Usa lenguaje programación Cve,Usa lenguaje programación Proporción
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,606,6,"0,5%",223,7,"1,5%",,33,6,"9,3%","14,9",,130,8,"3,0%","58,2",,59,12,"10,40%","9,7",,126,19,"7,70%","20,8",,461,14,"1,60%","76,1",,549,9,"0,80%","90,5",,,450,11,"1,20%","74,2",,,409,12,"1,50%","67,5",,126,19,"7,7%","20,8",,169,17,"5,20%","36,4",,159,20,"6,30%","34,2",,104,17,"8,30%","22,4",,80,15,"9,30%","17,2",,85,15,"9,30%","18,4",,18,8,"22,90%","3,8"
,,,HOMBRE,306,5,"0,8%",,,,,,,,,,,,,,,30,7,"11,80%","9,7",,64,11,"9,00%","20,9",,227,8,"1,90%","74,1",,277,6,"1,10%","90,4",,,227,7,"1,50%","74,3",,,204,8,"1,90%","66,5",,64,11,"9,0%","20,9",,81,10,"6,40%","35,2",,77,11,"7,30%","33,8",,52,10,"9,90%","22,8",,41,9,"10,90%",18,,42,9,"11,10%","18,2",,10,4,"20,60%","4,2"
,,,MUJER,300,4,"0,7%",,,,,,,,,,,,,,,29,7,"11,50%","9,8",,62,10,"8,10%","20,7",,235,9,"1,90%","78,1",,272,6,"1,20%","90,6",,,222,6,"1,40%",74,,,205,7,"1,70%","68,4",,62,10,"8,1%","20,7",,88,9,"5,40%","37,6",,82,10,"6,50%","34,6",,52,8,"8,00%",22,,39,7,"9,20%","16,5",,44,8,"9,10%","18,5",,8,5,"29,20%","3,5"
,VAUPÉS,TOTAL,TOTAL,45,1,"0,7%",15,0,"1,1%",,1,0,"7,9%","9,9",,2,0,"10,2%","10,1",,8,1,"5,60%","17,8",,11,1,"4,70%","24,5",,15,1,"4,00%","34,1",,19,1,"3,70%","43,4",,,12,1,"3,80%","26,7",,,10,1,"3,70%","23,6",,11,1,"4,7%","24,5",,11,1,"5,00%","67,7",,8,1,"5,00%","48,1",,5,1,"6,60%","29,4",,4,1,"6,80%","24,7",,5,1,"7,20%","30,3",,1,0,"16,80%","5,7"
,,,HOMBRE,23,0,"1,1%",,,,,,,,,,,,,,,4,1,"6,60%","19,3",,6,1,"5,70%","26,1",,8,1,"4,00%","37,1",,11,1,"3,70%","46,8",,,7,1,"4,20%","30,3",,,6,0,"4,20%","26,2",,6,1,"5,7%","26,1",,6,1,"5,80%","67,7",,5,0,"5,20%","48,7",,3,0,"7,20%","30,3",,2,0,"7,30%","24,2",,3,0,"7,90%","29,9",,1,0,"17,40%","6,2"
,,,MUJER,22,0,"0,9%",,,,,,,,,,,,,,,4,0,"6,10%","16,3",,5,0,"5,10%","22,7",,7,1,"4,90%","30,9",,9,1,"4,40%","39,9",,,5,0,"4,60%","22,8",,,4,0,"4,30%","20,7",,5,0,"5,1%","22,7",,5,1,"5,80%","67,8",,3,0,"5,90%","47,3",,2,0,"7,70%","28,2",,2,0,"7,60%","25,4",,2,0,"7,80%","30,8",,0,0,"19,90%","5,1"
,,CABECERA,TOTAL CABECERA,13,0,"0,6%",4,0,"2,2%",,1,0,"7,1%","28,2",,1,0,"10,3%","31,9",,4,0,"5,20%","32,9",,6,0,"4,40%",43,,9,0,"2,40%","66,4",,10,0,"2,00%",79,,,8,0,"2,40%","61,4",,,8,0,"2,80%","57,7",,6,0,"4,4%","43,0",,6,1,"5,10%","68,6",,5,1,"4,90%","57,9",,4,1,"6,40%","40,8",,3,0,"7,50%","32,5",,3,0,"6,90%","34,9",,1,0,"18,90%","8,7"
,,,HOMBRE,7,0,"1,0%",,,,,,,,,,,,,,,2,0,"5,80%","34,3",,3,0,"5,20%","44,3",,5,0,"2,20%",69,,6,0,"1,80%","80,6",,,4,0,"2,20%","63,8",,,4,0,"2,70%",59,,3,0,"5,2%","44,3",,3,0,"5,20%","68,8",,3,0,"5,60%","57,4",,2,0,"6,70%","41,5",,2,0,"8,30%","32,4",,2,0,"7,50%","34,9",,0,0,"19,50%","8,9"
,,,MUJER,6,0,"0,8%",,,,,,,,,,,,,,,2,0,"5,70%","31,4",,3,0,"4,50%","41,6",,4,0,"3,40%","63,555",,5,0,"2,70%","77,4",,,4,0,"3,40%","58,9",,,4,0,"3,50%","56,3",,3,0,"4,5%","41,6",,3,0,"6,00%","68,3",,2,0,"5,10%","58,5",,2,0,"7,60%","40,1",,1,0,"7,80%","32,6",,1,0,"7,40%","34,8",,0,0,"20,50%","8,5"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,31,1,"0,9%",11,0,"1,6%",,0,0,"31,3%","2,4",,0,0,"46,0%","1,2",,4,1,"10,70%","11,5",,5,1,"8,60%","16,6",,6,1,"8,80%","20,5",,9,1,"7,70%","28,4",,,4,1,"10,80%",12,,,3,1,"11,50%","9,1",,5,1,"8,6%","16,6",,5,1,"9,30%","66,7",,3,1,"11,10%","36,2",,1,0,"18,60%","15,4",,1,0,"14,80%","15,3",,2,1,"15,40%","24,7",,0,0,"34,40%","2,1"
,,,HOMBRE,16,0,"1,4%",,,,,,,,,,,,,,,2,1,"12,30%","12,9",,3,1,"10,10%","18,4",,4,1,"8,40%","23,6",,5,1,"7,30%","32,4",,,3,1,"10,50%","16,1",,,2,0,"11,60%","12,3",,3,1,"10,1%","18,4",,3,1,"10,90%","66,3",,2,0,"10,20%",39,,1,0,"19,20%","17,8",,1,0,"14,90%",15,,1,0,"16,60%","24,3",,0,0,"37,60%","3,2"
,,,MUJER,15,0,"1,3%",,,,,,,,,,,,,,,2,0,"12,10%","9,9",,2,0,"9,70%","14,7",,3,1,"11,40%","17,2",,4,1,"9,50%","24,2",,,1,0,"15,80%","7,7",,,1,0,"16,40%","5,8",,2,0,"9,7%","14,7",,2,0,"11,10%","67,1",,1,0,"15,90%","32,2",,0,0,"25,30%",12,,1,0,"19,10%","15,6",,1,0,"17,60%","25,3",,0,0,"80,60%","0,5"
,VICHADA,TOTAL,TOTAL,107,2,"0,9%",49,1,"1,0%",,1,0,"12,3%","2,8",,5,1,"9,5%","9,3",,3,0,"8,80%","2,6",,6,1,"7,60%","5,8",,15,2,"5,60%","14,5",,28,3,"6,20%","26,5",,,22,3,"6,40%","20,5",,,17,2,"6,30%","15,7",,6,1,"7,6%","5,8",,6,1,"6,50%","40,1",,7,1,"7,40%","43,8",,3,1,"9,00%","20,4",,4,1,"8,10%","22,5",,4,1,"7,40%","26,7",,1,0,"15,80%","6,3"
,,,HOMBRE,56,1,"1,2%",,,,,,,,,,,,,,,1,0,"12,20%","2,6",,3,1,"8,60%","5,3",,8,1,"6,00%",14,,15,2,"6,60%","26,3",,,12,2,"7,40%","20,9",,,9,1,"6,70%","15,1",,3,1,"8,6%","5,3",,3,1,"8,00%","41,2",,4,1,"8,40%","44,5",,2,0,"11,30%","20,5",,2,0,"10,70%","22,2",,2,0,"9,70%","26,7",,1,0,"18,50%","6,4"
,,,MUJER,50,1,"1,1%",,,,,,,,,,,,,,,1,0,"8,60%","2,7",,3,1,"9,80%","6,4",,7,1,"5,70%","14,9",,13,2,"6,30%","26,8",,,10,1,"6,20%","20,1",,,8,1,"6,60%","16,3",,3,1,"9,8%","6,4",,3,0,"6,40%","39,1",,3,0,"7,30%","43,2",,2,0,"9,20%","20,3",,2,0,"7,20%","22,8",,2,0,"7,00%","26,7",,0,0,"17,70%","6,1"
,,CABECERA,TOTAL CABECERA,26,0,"0,6%",11,0,"1,9%",,1,0,"11,4%","10,9",,3,0,"5,7%","31,7",,3,0,"7,90%","9,7",,5,1,"6,70%","21,1",,13,1,"3,40%","51,1",,18,1,"2,00%","69,9",,,16,1,"2,10%","62,1",,,13,1,"2,90%","51,1",,5,1,"6,7%","21,1",,6,1,"6,40%","44,1",,6,1,"5,60%","45,1",,3,1,"8,90%","22,4",,4,1,"8,00%","25,9",,4,1,"7,30%","30,9",,1,0,"15,90%","7,1"
,,,HOMBRE,13,0,"0,7%",,,,,,,,,,,,,,,1,0,"10,90%","9,6",,3,0,"8,30%","21,2",,7,0,"3,70%","51,3",,9,0,"2,40%","68,6",,,8,0,"2,40%","61,7",,,7,0,"3,40%","50,1",,3,0,"8,3%","21,2",,3,0,"7,70%","44,2",,3,0,"6,70%","44,4",,2,0,"11,10%","22,3",,2,0,"10,30%",25,,2,0,"9,50%","30,1",,0,0,"18,40%",7
,,,MUJER,13,0,"0,9%",,,,,,,,,,,,,,,1,0,"8,20%","9,8",,3,0,"7,20%",21,,6,0,"3,80%","50,984",,9,0,"2,10%","71,4",,,8,0,"2,40%","62,5",,,7,0,"3,30%","52,1",,3,0,"7,2%","21,0",,3,0,"6,10%","43,9",,3,0,"5,50%","45,8",,2,0,"8,40%","22,6",,2,0,"7,30%","26,8",,2,0,"7,00%","31,7",,0,0,"17,70%","7,2"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL CENTROS POBLADOS Y RURAL,81,2,"1,2%",38,1,"1,3%",,0,0,"65,1%","0,4",,1,1,"38,0%","2,7",,0,0,"48,80%","0,4",,1,1,"38,70%","0,9",,2,1,"33,80%","2,7",,10,3,"16,80%","12,7",,,6,3,"23,70%","7,2",,,4,2,"28,00%","4,4",,1,1,"38,7%","0,9",,0,0,"37,60%","18,3",,1,1,"43,80%","36,7",,0,0,"52,90%",9,,0,0,"84,80%","3,6",,0,0,"84,60%","3,6",,0,0,"99,70%","1,5"
,,,HOMBRE,43,1,"1,5%",,,,,,,,,,,,,,,0,0,"56,20%","0,5",,0,0,"49,20%","0,6",,1,1,"33,50%","2,8",,6,2,"16,20%","13,6",,,4,2,"23,20%","8,5",,,2,1,"26,90%","4,6",,0,0,"49,2%","0,6",,0,0,"44,00%","23,6",,1,0,"41,90%","44,6",,0,0,"65,90%","9,8",,0,0,"99,20%","6,1",,0,0,"84,60%","7,3",,0,0,"99,70%","3,1"
,,,MUJER,37,1,"1,5%",,,,,,,,,,,,,,,0,0,"54,60%","0,3",,1,0,"47,40%","1,4",,1,1,"36,00%","2,7",,4,2,"18,90%","11,7",,,2,1,"28,20%","5,7",,,2,1,"32,20%","4,2",,1,0,"47,4%","1,4",,0,0,"51,70%","13,2",,0,0,"51,90%","29,1",,0,0,"76,50%","8,3",,0,0,"95,00%","1,1",,0,0,,-,,0,0,.,0
2022,TOTAL NACIONAL,TOTAL,TOTAL,48231,83,"0,1",17526,115,0,,2425,119,"2,5","13,8",,10422,164,"0,8","59,5",,9843,386,2,"20,4",,16367,401,"1,3","33,9",,35111,259,"0,4","72,8",,43390,143,"0,2",90,,,36567,163,"0,2","75,8",,,31858,229,"0,4","87,1",,16367,401,"1,3","33,9",,19320,367,1,"54,7",,18792,346,"0,9","53,2",,12453,341,"1,4","35,3",,10582,315,"1,5",30,,10437,304,"1,5","29,5",,3423,190,"2,8","9,7"
,,,HOMBRE,23433,60,"0,1",,,,,,,,,,,,,,,4822,212,"2,2","20,6",,7946,221,"1,4","33,9",,16862,146,"0,4",72,,20940,99,"0,2","89,4",,,17549,106,"0,3","74,9",,,15075,135,"0,5","85,9",,7946,221,"1,4","33,9",,9361,198,"1,1","55,2",,9062,187,"1,1","53,4",,6118,191,"1,6",36,,5144,174,"1,7","30,3",,5011,169,"1,7","29,5",,1881,116,"3,2","11,1"
,,,MUJER,24798,56,"0,1",,,,,,,,,,,,,,,5021,200,2,"20,2",,8421,212,"1,3",34,,18249,147,"0,4","73,6",,22450,86,"0,2","90,5",,,19018,94,"0,3","76,7",,,16783,129,"0,4","88,2",,8421,212,"1,3",34,,9959,203,1,"54,3",,9730,190,1,53,,6334,182,"1,5","34,5",,5438,171,"1,6","29,6",,5426,167,"1,6","29,6",,1542,96,"3,2","8,4"
,,CABECERA,TOTAL,37101,311,"0,4",13554,156,1,,2326,119,"2,6","17,2",,9142,174,1,"67,5",,9052,388,"2,2","24,4",,14658,410,"1,4","39,5",,29260,335,"0,6","78,9",,34194,299,"0,4","92,2",,,29573,271,"0,5","79,7",,,26630,297,"0,6",90,,14658,410,"1,4","39,5",,16861,381,"1,2","57,4",,16608,359,"1,1","56,5",,11401,346,"1,5","38,8",,9753,319,"1,7","33,2",,9595,308,"1,6","32,6",,3250,190,3,"11,1"
,,,HOMBRE,17658,165,"0,5",,,,,,,,,,,,,,,4427,213,"2,5","25,1",,7079,224,"1,6","40,1",,13904,181,"0,7","78,7",,16202,164,"0,5","91,8",,,13906,152,"0,6","78,8",,,12447,163,"0,7","89,5",,7079,224,"1,6","40,1",,8135,204,"1,3","58,2",,7981,194,"1,2","57,1",,5591,193,"1,8",40,,4734,175,"1,9","33,9",,4607,171,"1,9",33,,1786,116,"3,3","12,8"
,,,MUJER,19444,161,"0,4",,,,,,,,,,,,,,,4626,200,"2,2","23,8",,7579,216,"1,5",39,,15356,182,"0,6",79,,17993,160,"0,5","92,5",,,15667,144,"0,5","80,6",,,14183,161,"0,6","90,5",,7579,216,"1,5",39,,8726,209,"1,2","56,6",,8627,195,"1,2","55,9",,5809,184,"1,6","37,7",,5019,173,"1,8","32,6",,4988,169,"1,7","32,3",,1464,96,"3,4","9,5"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,11130,299,"1,4",3972,98,1,,99,10,"5,2","2,5",,1280,48,"1,9","32,2",,790,46,3,"7,1",,1709,77,"2,3","15,4",,5851,196,"1,7","52,6",,9196,260,"1,4","82,6",,,6994,207,"1,5","62,8",,,5227,165,"1,6","74,7",,1709,77,"2,3","15,4",,2459,95,2,"41,5",,2183,88,"2,1","36,8",,1052,51,"2,5","17,7",,829,43,"2,6",14,,842,44,"2,7","14,2",,173,15,"4,4","2,9"
,,,HOMBRE,5775,156,"1,4",,,,,,,,,,,,,,,395,26,"3,4","6,8",,867,44,"2,6",15,,2958,101,"1,7","51,2",,4738,136,"1,5",82,,,3643,109,"1,5","63,1",,,2627,85,"1,6","72,1",,867,44,"2,6",15,,1226,51,"2,1","40,9",,1081,48,"2,3",36,,527,29,"2,8","17,6",,410,25,"3,1","13,7",,405,25,"3,1","13,5",,95,10,"5,5","3,2"
,,,MUJER,5354,149,"1,4",,,,,,,,,,,,,,,395,24,"3,1","7,4",,842,40,"2,5","15,7",,2893,101,"1,8",54,,4458,131,"1,5","83,2",,,3351,104,"1,6","62,6",,,2600,87,"1,7","77,6",,842,40,"2,5","15,7",,1233,51,"2,1","42,1",,1103,47,"2,2","37,6",,525,28,"2,7","17,9",,419,24,"2,9","14,3",,438,24,"2,8","14,9",,78,8,"5,3","2,7"
,AMAZONAS,TOTAL,TOTAL,74,4,"2,9",22,1,3,,1,0,"17,5","3,7",,8,1,"6,9","37,6",,14,2,"7,2","19,2",,22,3,"5,7","30,2",,32,3,"4,9","42,7",,43,4,"4,3","57,5",,,28,3,"4,9","37,8",,,19,2,"6,4","67,7",,22,3,"5,7","30,2",,24,3,"5,7","68,2",,19,2,"5,3","53,6",,13,2,"6,7","37,4",,13,2,"6,2","36,4",,10,1,"6,1","29,6",,3,1,"12,9","7,3"
,,,HOMBRE,39,2,"2,9",,,,,,,,,,,,,,,8,1,"8,3","20,4",,12,2,"6,6","31,5",,17,2,"5,1","43,4",,23,2,"4,4","58,9",,,15,2,"5,1","39,7",,,10,1,"6,7","66,5",,12,2,"6,6","31,5",,13,2,"6,3","70,2",,10,1,"5,3","55,1",,7,1,"7,4","37,3",,7,1,"6,7","37,8",,5,1,"7,2","29,6",,2,0,"13,8","8,4"
,,,MUJER,36,2,"3,2",,,,,,,,,,,,,,,6,1,"7,8",18,,10,1,"6,2","28,9",,15,2,"5,3",42,,20,2,"4,7",56,,,13,1,"5,5","35,8",,,9,1,7,"69,2",,10,1,"6,2","28,9",,11,1,"6,4","65,9",,9,1,"6,4",52,,6,1,"7,3","37,6",,6,1,"7,7","34,8",,5,1,"6,9","29,7",,1,0,"17,8",6
,,CABECERA,TOTAL,38,5,"7,2",12,2,6,,1,0,"19,9","5,9",,6,1,"10,6",46,,8,2,"12,7","21,5",,13,3,10,"34,3",,21,3,"8,1","53,7",,27,4,"7,2","71,5",,,20,3,"6,9","52,5",,,13,2,"9,1","64,3",,13,3,10,"34,3",,15,3,9,"66,4",,13,2,"7,8","57,3",,10,1,"7,4","44,2",,9,1,"7,9","40,6",,8,1,"7,7","35,1",,2,1,"18,5","8,1"
,,,HOMBRE,20,3,"7,5",,,,,,,,,,,,,,,4,1,"14,1","22,4",,7,2,"11,4",35,,11,2,"8,8","53,9",,14,2,"7,8","70,9",,,10,2,"7,5","52,2",,,7,1,"9,8","64,2",,7,2,"11,4",35,,8,2,"10,3","68,9",,7,1,"8,4",58,,5,1,"8,3","45,5",,5,1,"9,1","42,4",,4,1,"8,7","35,7",,1,0,"19,8","9,9"
,,,MUJER,19,3,"7,2",,,,,,,,,,,,,,,4,1,"12,5","20,4",,6,1,"9,7","33,5",,10,2,8,"53,4",,14,2,"7,3","72,1",,,10,1,"6,9","52,7",,,6,1,"9,3","64,4",,6,1,"9,7","33,5",,7,1,9,"63,7",,6,1,"8,3","56,6",,5,1,"8,1","42,9",,4,1,"8,4","38,7",,4,1,"8,7","34,5",,1,0,"23,3","6,2"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,36,3,"4,7",10,1,5,,0,0,39,"0,8",,3,1,"16,1","26,8",,6,1,"11,8","16,8",,9,2,"8,5","25,9",,11,2,"8,8",31,,15,2,"8,2","42,5",,,8,2,"10,5","22,2",,,6,2,"13,4","76,4",,9,2,"8,5","25,9",,9,2,"10,6","71,3",,6,1,"10,9","47,3",,3,1,"17,9","25,5",,4,1,"11,8",29,,3,1,"15,1","20,1",,1,0,"24,9","5,9"
,,,HOMBRE,19,2,5,,,,,,,,,,,,,,,3,1,"13,1","18,2",,5,1,"9,6","27,8",,6,1,"9,2","32,6",,9,1,"8,6","46,4",,,5,1,"10,1","26,8",,,4,1,"13,5","71,1",,5,1,"9,6","27,8",,5,1,"11,8","72,3",,4,1,"10,1","50,6",,2,1,20,"24,2",,2,0,"11,4","30,5",,1,1,"18,2","20,1",,0,0,"25,3","6,1"
,,,MUJER,17,2,"4,9",,,,,,,,,,,,,,,3,1,"13,9","15,3",,4,1,10,"23,7",,5,1,"9,8","29,3",,6,1,"8,7","38,2",,,3,1,"14,1",17,,,2,1,"15,3","85,6",,4,1,10,"23,7",,4,1,"12,3",70,,2,1,"14,3","43,1",,2,1,"18,6","27,2",,2,1,"19,1","27,1",,1,0,"15,5","20,1",,0,0,"34,2","5,7"
,ANTIOQUIA,TOTAL,TOTAL,6505,154,"1,2",2406,68,1,,320,49,"7,8","13,3",,1461,77,"2,7","60,7",,1336,162,"6,2","20,5",,2132,171,"4,1","32,8",,4791,156,"1,7","73,6",,5824,143,"1,2","89,5",,,5203,123,"1,2",80,,,4512,146,"1,6","86,7",,2132,171,"4,1","32,8",,2318,185,"4,1","48,2",,2407,174,"3,7","50,1",,1706,183,"5,5","35,5",,1313,152,"5,9","27,3",,1177,139,6,"24,5",,358,80,"11,5","7,4"
,,,HOMBRE,3115,83,"1,4",,,,,,,,,,,,,,,641,95,"7,5","20,6",,1002,93,"4,7","32,2",,2262,89,2,"72,6",,2766,82,"1,5","88,8",,,2455,73,"1,5","78,8",,,2113,82,2,"86,1",,1002,93,"4,7","32,2",,1098,97,"4,5","48,3",,1155,93,"4,1","50,9",,824,103,"6,4","36,3",,618,82,"6,8","27,2",,567,79,"7,1",25,,186,51,"13,9","8,2"
,,,MUJER,3390,81,"1,2",,,,,,,,,,,,,,,695,83,"6,1","20,5",,1130,95,"4,3","33,3",,2529,88,"1,8","74,6",,3058,80,"1,3","90,2",,,2748,70,"1,3","81,1",,,2399,83,"1,8","87,3",,1130,95,"4,3","33,3",,1221,109,"4,6","48,1",,1252,101,"4,1","49,4",,882,99,"5,7","34,8",,696,88,"6,5","27,4",,611,78,"6,5","24,1",,172,44,13,"6,8"
,,CABECERA,TOTAL,5252,228,"2,2",1969,87,2,,305,49,"8,2","15,5",,1341,82,"3,1","68,1",,1250,164,"6,7","23,8",,1922,181,"4,8","36,6",,4096,202,"2,5",78,,4785,202,"2,2","91,1",,,4341,178,"2,1","82,7",,,3909,188,"2,5",90,,1922,181,"4,8","36,6",,2075,196,"4,8","50,6",,2147,187,"4,4","52,3",,1602,186,"5,9","39,1",,1254,155,"6,3","30,6",,1108,142,"6,5",27,,344,80,"11,9","8,4"
,,,HOMBRE,2460,120,"2,5",,,,,,,,,,,,,,,598,96,"8,2","24,3",,892,97,"5,5","36,3",,1909,110,"2,9","77,6",,2231,107,"2,5","90,7",,,2015,97,"2,5","81,9",,,1814,101,"2,8",90,,892,97,"5,5","36,3",,973,102,"5,4","50,8",,1023,99,"4,9","53,5",,772,105,"6,9","40,4",,587,83,"7,2","30,7",,531,80,"7,7","27,7",,177,51,"14,6","9,3"
,,,MUJER,2791,118,"2,2",,,,,,,,,,,,,,,651,84,"6,6","23,3",,1030,100,5,"36,9",,2186,110,"2,6","78,3",,2554,110,"2,2","91,5",,,2327,96,"2,1","83,4",,,2096,103,"2,5","90,1",,1030,100,5,"36,9",,1102,114,"5,3","50,3",,1123,107,"4,9","51,3",,830,101,"6,2","37,9",,667,89,"6,8","30,5",,577,80,7,"26,4",,167,44,"13,4","7,6"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,1253,162,"6,6",437,49,6,,15,5,17,"3,5",,119,20,"8,4","27,2",,86,20,12,"6,9",,210,42,"10,3","16,7",,695,102,"7,5","55,5",,1039,139,"6,8","82,9",,,861,116,"6,9","68,7",,,602,84,"7,1","69,9",,210,42,"10,3","16,7",,244,43,9,"34,6",,260,46,"9,1",37,,103,22,"10,6","14,7",,59,14,"12,2","8,4",,70,16,"11,7","9,9",,14,5,"19,6",2
,,,HOMBRE,654,87,"6,8",,,,,,,,,,,,,,,43,11,"13,4","6,6",,110,24,"11,1","16,8",,352,53,"7,7","53,9",,535,74,7,"81,8",,,440,62,"7,1","67,3",,,300,43,"7,4","68,1",,110,24,"11,1","16,8",,125,23,"9,5",35,,131,25,"9,6","36,8",,51,12,"12,1","14,3",,31,9,"14,3","8,6",,36,9,"12,8","10,1",,9,4,"21,3","2,6"
,,,MUJER,599,78,"6,7",,,,,,,,,,,,,,,43,10,"12,2","7,2",,100,21,"10,6","16,7",,343,51,"7,6","57,2",,504,68,"6,9","84,2",,,421,57,"6,9","70,3",,,303,43,"7,3","71,9",,100,21,"10,6","16,7",,119,23,"9,7","34,2",,129,24,"9,5","37,2",,52,12,"11,3","15,1",,28,8,"13,9","8,2",,34,9,"13,5","9,7",,5,2,"26,2","1,4"
,ARAUCA,TOTAL,TOTAL,277,12,"2,2",113,4,2,,4,1,"16,4","3,8",,47,4,"4,7","41,7",,24,4,"9,4","8,7",,53,6,"6,1","19,1",,172,12,"3,6",62,,245,11,"2,4","88,5",,,187,9,"2,5","67,3",,,152,9,"3,2","81,2",,53,6,"6,1","19,1",,72,8,6,"41,4",,61,7,6,"35,6",,33,5,"8,4","18,8",,34,5,"7,8","19,9",,31,5,"8,2","17,9",,9,3,"14,4","5,3"
,,,HOMBRE,138,6,"2,3",,,,,,,,,,,,,,,12,3,"11,1","8,5",,25,4,"7,2","18,4",,80,6,4,"57,6",,121,6,"2,5","87,4",,,89,5,"2,7","64,2",,,68,5,"3,6",77,,25,4,"7,2","18,4",,34,5,"6,9","42,1",,28,4,"6,9","34,4",,16,3,"9,8","19,8",,16,3,"9,7","19,8",,14,3,"10,3","17,4",,4,1,"17,4",5
,,,MUJER,139,7,"2,4",,,,,,,,,,,,,,,12,2,"10,1","8,8",,27,4,"6,8","19,8",,92,7,"3,7","66,4",,124,6,"2,5","89,7",,,98,5,"2,7","70,3",,,83,5,"3,3","85,1",,27,4,"6,8","19,8",,38,5,"6,3","40,8",,34,4,"6,3","36,6",,17,3,9,18,,19,3,8,20,,17,3,"8,8","18,2",,5,1,"14,3","5,5"
,,CABECERA,TOTAL,182,20,"5,7",68,7,5,,4,1,"17,6","5,9",,36,5,"6,8","52,6",,21,4,"10,5","11,8",,45,7,"7,8","24,5",,128,15,"6,1","70,5",,165,18,"5,7","90,7",,,128,14,"5,5","70,5",,,110,12,"5,7","85,6",,45,7,"7,8","24,5",,61,9,"7,4","47,7",,52,8,"7,7","40,2",,30,5,"9,2","23,4",,31,5,"8,9",24,,28,5,"9,4","21,5",,9,3,"15,2","6,7"
,,,HOMBRE,87,10,"6,1",,,,,,,,,,,,,,,10,3,"12,7","11,8",,21,4,"8,9","24,3",,59,8,"6,6","67,1",,78,10,"6,2","89,7",,,59,7,6,"67,4",,,49,6,"6,3","83,6",,21,4,"8,9","24,3",,29,5,"8,4","48,7",,23,4,"8,6","39,7",,15,3,"10,5","25,3",,14,3,"10,8","24,2",,12,3,"11,8","21,1",,4,1,"18,8","6,2"
,,,MUJER,94,10,"5,7",,,,,,,,,,,,,,,11,2,"11,2","11,8",,23,4,"8,5","24,7",,69,8,"6,2","73,6",,86,10,"5,6","91,7",,,69,7,"5,5","73,4",,,60,7,"5,8","87,3",,23,4,"8,5","24,7",,32,5,"7,7","46,7",,28,5,"8,2","40,6",,15,3,10,"21,9",,17,3,"9,1","23,8",,15,3,"9,9",22,,5,1,"14,8","7,1"
